id,product,model,circuitCount,quantity,person,time,inspectionReady,inspectionCompleted
1,CCCCCCCCCC,F03,278,1,山根,2024-05-05 17:30:00,0,1
2,8211156A70,F03,278,1,山根,2024-05-03 18:30:00,1,0
3,8211136B80,B00,333,2,秋山,2024-05-03 19:30:00,0,1
4,8211156A90,F03,278,1,山根,2024-05-03 20:30:00,1,0
5,8211136C00,B00,333,2,秋山,2024-05-05 21:30:00,1,1
6,AAAAAAAAAA,F03,278,1,大木,2024-05-03 22:30:00,,
7,BBBBBBBBBB,F03,278,1,山根,2024-05-03 23:30:00,,
8,8211156A70,F03,278,1,山根,2024-05-04 00:30:00,,
9,8211136B80,B00,333,2,秋山,2024-05-04 01:30:00,,
10,8211156A90,F03,278,1,山根,2024-05-04 02:30:00,,
11,8211136C00,B00,333,2,秋山,2024-05-04 03:30:00,,
12,DDDDDDDDDD,F03,278,1,洙田,2024-05-04 04:30:00,,
13,EEEEEEEEEE,F03,278,1,山根,2024-05-04 05:30:00,,
14,8211156A70,F03,278,1,山根,2024-05-04 06:30:00,,
15,8211136B80,B00,333,2,秋山,2024-05-04 07:30:00,,
16,8211156A90,F03,278,1,山根,2024-05-04 08:30:00,,
17,8211136C00,B00,333,2,秋山,2024-05-04 09:30:00,,
18,FFFFFFFFFF,F03,278,1,山根,2024-05-04 10:30:00,,
19,8211156A40,F03,278,1,5号機,2024-05-04 11:30:00,,
20,8211156A10,F03,278,1,2号機,2024-05-04 12:30:00,,
21,8211136B30,B00,333,2,3号機,2024-05-04 13:30:00,,
22,8211136B50,B00,333,2,1号機,2024-05-04 14:30:00,,
23,8211156A60,F03,278,1,7号機,2024-05-04 15:30:00,,
